Country,Capital,CountryFreq,CapitalFreq,CountryCapitalFreq,CapitalCountryFreq
Afghanistan,Kabul,13076307,1115120,0,0
Albania,Tirana,6129973,362231,0,0
Algeria,Algiers,6084883,479573,0,0
Angola,Luanda,5791355,168199,0,0
Armenia,Yerevan,6435108,505258,0,0
Australia,Canberra,104705451,4736095,0,0
Austria,Vienna,27011209,8456391,0,64
Azerbaijan,Baku,5975186,620141,0,0
Bahamas,Nassau,8269935,2424787,0,0
Bahrain,Manama,6512971,149615,0,0
Bangladesh,Dhaka,8842372,919491,0,0
Barbados,Bridgetown,7511468,328473,0,0
Belarus,Minsk,6732035,699765,0,70
Belgium,Brussels,22226723,6936140,0,73
Belize,Belmopan,6767276,44874,0,0
Benin,Porto-Novo,4615588,0,0,0
Bhutan,Thimphu,4863567,87694,0,0
Botswana,Gaborone,8949063,306658,0,0
Brazil,Brasília,24690454,99546,0,0
Bulgaria,Sofia,12667326,2582019,0,0
Burundi,Bujumbura,4762462,89650,0,0
Cameroon,Yaoundé,5395288,55268,0,0
Canada,Ottawa,163179071,10891535,0,0
Chad,N'Djamena,8506517,0,0,0
Chile,Santiago,12536358,3566280,0,0
China,Beijing,116848500,8870326,51,124
Colombia,Bogotá,10143942,315244,0,0
Comoros,Moroni,3782757,136206,0,0
Croatia,Zagreb,10007663,989329,0,0
Cuba,Havana,12062983,2319115,0,0
Cyprus,Nicosia,12112094,431324,0,0
Denmark,Copenhagen,18478884,4481628,0,67
Dominica,Roseau,4162137,189235,0,0
Ecuador,Quito,8095594,871094,0,0
Egypt,Cairo,18652727,3701577,0,40
Eritrea,Asmara,4433361,120536,0,0
Estonia,Tallinn,8383338,983551,0,0
Fiji,Suva,7615916,260261,0,0
Finland,Helsinki,15850064,3541222,0,78
France,Paris,96004061,38282783,256,517
Gabon,Libreville,4351878,76937,0,0
Georgia,Tbilisi,44506975,575755,0,0
Germany,Berlin,88205603,15112790,71,80
Ghana,Accra,7349356,514605,0,0
Greece,Athens,19354693,9705273,56,213
Guinea,Conakry,18694037,127723,0,0
Guinea-Bissau,Bissau,0,3627308,0,0
Guyana,Georgetown,5459343,4274135,0,0
Haiti,Port-au-Prince,6938517,0,0,0
Honduras,Tegucigalpa,6477109,171506,0,0
Hungary,Budapest,13146657,4745628,0,97
Iceland,Reykjavík,8850879,237861,0,0
Indonesia,Jakarta,16693730,2932723,0,0
Iran,Tehran,22491504,2039860,0,42
Iraq,Baghdad,51060610,5149196,48,102
Ireland,Dublin,52967663,13948054,44,170
Israel,Jerusalem,37464255,7855241,290,360
Italy,Rome,55288159,19331959,96,253
Jamaica,Kingston,10485479,8881733,0,0
Japan,Tokyo,74343236,12676262,48,95
Jordan,Amman,19330661,822082,0,0
Kazakhstan,Astana,6400640,179234,0,0
Kenya,Nairobi,12207654,1894170,0,0
Kyrgyzstan,Bishkek,4385111,265874,0,0
Laos,Vientiane,4816269,347801,0,0
Latvia,Riga,7975720,1204603,0,51
Lebanon,Beirut,11716828,1691179,0,0
Lesotho,Maseru,4807986,76214,0,0
Liberia,Monrovia,5133316,526731,0,0
Libya,Tripoli,4538174,477259,0,0
Liechtenstein,Vaduz,4871635,90947,0,0
Lithuania,Vilnius,8282443,867210,0,0
Macedonia,Skopje,6354746,386973,0,0
Madagascar,Antananarivo,6124550,115329,0,0
Malawi,Lilongwe,5911168,92372,0,0
Maldives,Malé,4882505,27924,0,0
Mali,Bamako,5057081,217809,0,0
Malta,Valletta,8470598,278995,0,0
Mauritania,Nouakchott,4168967,76258,0,0
